run_id,T1,d1,th1,br1,d2,th2,br2
247,0.5,-22.5,0.5,0.0,22.5,1.0,0.5
248,0.5,45.0,1.0,0.5,45.0,1.0,1.0
249,0.5,-22.5,0.0,1.0,-45.0,1.0,1.0
250,0.5,22.5,0.5,3.0,-45.0,0.0,1.0
251,0.5,0.0,1.0,6.0,-22.5,0.0,3.0
252,0.5,45.0,0.0,0.0,0.0,0.0,3.0
253,0.5,-45.0,0.5,0.5,22.5,0.0,6.0
254,0.5,0.0,1.0,1.0,22.5,0.5,6.0
255,0.5,-22.5,0.0,3.0,45.0,0.5,10.0
256,0.5,22.5,0.5,10.0,-45.0,0.5,10.0
257,0.5,-45.0,1.0,0.0,-45.0,0.5,0.0
258,0.5,22.5,0.0,0.5,-22.5,1.0,0.0
259,0.5,-22.5,0.5,1.0,0.0,1.0,0.5
260,0.5,45.0,1.0,6.0,22.5,1.0,0.5
261,0.5,-45.0,0.0,10.0,22.5,0.0,1.0
262,0.5,0.0,0.5,0.0,45.0,0.0,1.0
263,0.5,-22.5,1.0,0.5,-45.0,0.0,3.0
264,0.5,45.0,0.0,3.0,-22.5,0.0,3.0
265,0.5,-45.0,0.5,6.0,-22.5,0.5,3.0
266,0.5,22.5,1.0,10.0,0.0,0.5,6.0
267,0.5,0.0,0.0,0.0,22.5,0.5,6.0
268,0.5,45.0,0.5,1.0,22.5,0.5,10.0
269,0.5,-45.0,1.0,3.0,45.0,1.0,10.0
270,0.5,0.0,0.0,6.0,-45.0,1.0,0.0
271,0.5,-22.5,0.5,10.0,-22.5,1.0,0.0
272,0.5,22.5,1.0,0.0,-22.5,0.0,0.5
273,0.5,-45.0,0.0,0.5,0.0,0.0,0.5
274,0.5,22.5,0.5,1.0,22.5,0.0,1.0
275,0.5,0.0,1.0,3.0,45.0,0.0,1.0
276,0.5,45.0,0.0,6.0,45.0,0.5,3.0
277,0.5,-45.0,0.5,0.0,-45.0,0.5,3.0
278,0.5,0.0,1.0,0.5,-22.5,0.5,3.0
279,0.5,-22.5,0.0,1.0,0.0,0.5,6.0
280,0.5,45.0,0.5,3.0,0.0,1.0,6.0
281,0.5,-22.5,1.0,10.0,22.5,1.0,10.0
282,0.5,22.5,0.0,0.0,45.0,1.0,10.0
283,0.5,0.0,0.5,0.5,45.0,0.0,0.0
284,0.5,45.0,1.0,1.0,-45.0,0.0,0.0
285,0.5,-45.0,0.0,6.0,-22.5,0.0,0.5
286,0.5,0.0,0.5,10.0,0.0,0.0,0.5
287,0.5,-22.5,1.0,0.0,0.0,0.5,1.0
288,0.5,22.5,0.0,0.5,22.5,0.5,1.0
289,0.5,-45.0,0.5,3.0,45.0,0.5,3.0
290,0.5,22.5,1.0,6.0,45.0,1.0,3.0
291,0.5,-22.5,0.0,10.0,-45.0,1.0,6.0
292,0.5,45.0,0.5,0.5,-45.0,1.0,6.0
293,0.5,-45.0,1.0,1.0,-22.5,1.0,6.0
294,0.5,0.0,0.0,3.0,0.0,0.0,10.0
295,0.5,-22.5,0.5,6.0,0.0,0.0,10.0
296,0.5,45.0,1.0,10.0,22.5,0.0,0.0
297,0.5,-22.5,0.0,0.0,45.0,0.0,0.0
298,0.5,22.5,0.5,0.5,-45.0,0.5,0.5
299,0.5,0.0,1.0,1.0,-45.0,0.5,0.5
300,0.5,45.0,0.0,3.0,-22.5,0.5,1.0
301,0.5,-45.0,0.5,6.0,0.0,1.0,1.0
302,0.5,0.0,1.0,0.0,22.5,1.0,3.0
303,0.5,-22.5,0.0,0.5,22.5,1.0,3.0
304,0.5,22.5,0.5,1.0,45.0,1.0,6.0
305,0.5,-45.0,1.0,3.0,-45.0,0.0,6.0
306,0.5,22.5,0.0,10.0,-22.5,0.0,6.0
307,0.5,0.0,0.5,0.0,-22.5,0.0,10.0
308,0.5,-45.0,0.0,1.0,22.5,0.5,0.0
309,0.5,22.5,0.5,6.0,22.5,0.5,0.0
310,0.5,-22.5,1.0,10.0,45.0,0.5,0.5
311,0.5,45.0,0.0,0.0,-45.0,1.0,0.5
312,0.5,-22.5,0.5,1.0,-22.5,1.0,1.0
313,0.5,22.5,1.0,3.0,-22.5,1.0,1.0
314,0.5,0.0,0.0,6.0,0.0,1.0,3.0
315,0.5,45.0,0.5,10.0,22.5,0.0,3.0
316,0.5,-45.0,1.0,0.5,22.5,0.0,6.0
317,0.5,0.0,0.0,1.0,45.0,0.0,6.0
318,0.5,-22.5,0.5,3.0,-45.0,0.0,10.0
319,0.5,22.5,1.0,6.0,-22.5,0.5,10.0
320,0.5,-45.0,0.0,10.0,-22.5,0.5,10.0
321,0.5,22.5,0.5,0.0,0.0,0.5,0.0
322,0.5,-22.5,1.0,0.5,22.5,1.0,0.0
323,0.5,45.0,0.0,1.0,45.0,1.0,0.5
